age, male, female,
0-1, 0.0000001, 0.0000001
1-4, 0.0000001, 0.0000001
5-9, 0.0000001, 0.0000001
10-14, 0.0000001, 0.0000001
15-29, 0.0000001, 0.0000001
20-24, 0.0000001, 0.0000001
25-29, 0.0000001, 0.0000001
30-34, 0.0000001, 0.0000001
35-39, 0.0000001, 0.0000001
40-44, 0.0000001, 0.0000001
45-49, 0.0000001, 0.0000001
50-54, 0.0000001, 0.0000001
55-59, 0.0000001, 0.0000001
60-64, 0.0000001, 0.0000001
65-69, 0.0000001, 0.0000001
70-74, 0.0000001, 0.0000001
75-79, 0.0000001, 0.0000001
80-84, 0.0000001, 0.0000001
85-89, 0.0000001, 0.0000001
90-94, 0.0000001, 0.0000001
95+, 0.0000001, 0.0000001
