,day,districtId,district_name_shpfile,cases_by_district_per_day,tot_cases_by_district,trueDay,simDay
0,1,1,Bulawayo,1,1044,1,0
1,5,18,Goromonzi,1,35,5,0
2,35,26,Chegutu,3,104,35,32
3,40,21,Murehwa,1,26,40,17
4,57,17,Chikomba,1,17,57,47
5,61,50,Mangwe (South),2,30,61,58
6,65,56,Gweru,2,143,65,47
7,66,36,Masvingo,1,71,66,52
8,68,32,Bikita,1,9,68,74
9,71,60,Zvishavane,1,97,71,54
10,78,27,Hurungwe,1,4,78,19
11,81,39,Binga,1,3,81,55
12,98,47,Bulilima (North),1,4,98,46
13,104,49,Insiza,5,19,104,28
14,107,43,Nkayi,1,22,107,58
15,1,2,Harare,1,2540,1,0
16,8,48,Gwanda,1,43,8,0
17,49,57,Kwekwe,1,20,49,29
18,65,55,Gokwe South,1,13,65,65
19,68,33,Chiredzi,1,20,68,93
20,68,38,Zaka,1,8,68,69
21,68,34,Chivi,4,15,68,61
22,68,46,Beitbridge,1,107,68,24
23,68,7,Mutare,1,192,68,41
24,68,35,Gutu,4,8,68,39
25,68,37,Mwenezi,1,12,68,65
26,69,8,Mutasa,1,30,69,57
27,72,11,Centenary,1,5,72,47
28,72,14,Mount Darwin,1,1,72,42
29,72,15,Rushinga,1,1,72,57
30,75,58,Mberengwa,1,11,75,53
31,76,5,Chipinge,1,60,76,52
32,77,22,Mutoko,1,40,77,41
33,77,19,Marondera,8,69,77,14
34,77,28,Kadoma,2,65,77,48
35,78,30,Makonde,2,83,78,29
36,79,10,Bindura,3,11,79,38
37,79,16,Shamva,1,8,79,25
38,81,41,Hwange,1,17,81,26
39,81,42,Lupane,1,20,81,27
40,81,51,Matobo,1,140,81,15
41,83,3,Buhera,1,20,83,52
42,83,6,Makoni,4,60,83,33
43,83,31,Zvimba,1,38,83,18
44,86,12,Guruve,1,3,86,47
45,90,53,Chirumhanzu,1,4,90,35
46,91,45,Umguza,1,11,91,24
47,92,13,Mazowe,1,4,92,24
48,92,4,Chimanimani,1,14,92,55
49,92,59,Shurugwi,1,9,92,57
50,93,54,Gokwe North,1,5,93,59
51,99,44,Tsholotsho,1,4,99,43
52,108,23,Seke,1,2,108,27
53,110,40,Bubi,1,2,110,17
54,112,52,Umzingwane,8,19,112,43
55,118,9,Nyanga,1,21,118,51
56,131,29,Kariba,1,10,131,93
57,135,20,Mudzi,10,10,135,27
58,135,24,UMP,1,1,135,52
59,136,25,Wedza,3,3,136,48
